,OBJECTID,SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,MUN_L,MUN_R,CFCC,SPEEDLIMIT,ONEWAY,HEIGHT,WEIGHT,WIDTH,F_ZLEV,T_ZLEV,SHIELD,HWY_NUM,NBHD_L,NBHD_R,FT_COST,TF_COST,TF_DIR,FT_DIR,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,PLACE00_L,PLACE00_R,TRACT00_L,TRACT00_R,BLOCK00_L,BLOCK00_R,MCD00_L,MCD00_R,STREET_ID,SHAPElen,geometry,points
12079,12080,15466,2542,2560,2503,2559,,Washington,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.10615154,0.10615154, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,4354,233.53337763798183,"LINESTRING (-7913368.200574076 5210204.150100243, -7913400.317467686 5210113.20201796)",<shapely.coords.CoordinateSequence object at 0x14d4b8520>
12080,12081,15467,64,74,63,73,,Saint James,ST,,Boston,Boston,A41,20,FT,,,,0,0,,,Roxbury,Roxbury,0.068,-1.0, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,3718,234.9895942242294,"LINESTRING (-7913310.02316367 5210078.3627257, -7913400.317467686 5210113.20201796)",<shapely.coords.CoordinateSequence object at 0x14d4b84c0>
12110,12111,22165,,,,,,RAMP - FRONTAGE ROAD TO RT 93 ,,,Boston,Boston,A63,20,FT,,,,1,1,,,South Boston,South Boston,-1.0,0.103, , ,MA,MA,025,025, , ,02118,02118, , ,07000,07000,-1,459.6003055380153,"LINESTRING (-7910748.671459786 5211995.027868277, -7910731.994417526 5212043.885129157, -7910692.475932953 5212163.163040223, -7910690.026912021 5212175.512570804)",<shapely.coords.CoordinateSequence object at 0x14d4b7940>
12113,12114,10714,34,46,33,45,,Centre,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.032,0.032, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,767,201.8675030061868,"LINESTRING (-7914061.650811803 5210489.364877688, -7914085.630482317 5210481.079116784, -7914088.999265084 5210479.667606026, -7914119.326521993 5210466.960208208, -7914138.400412565 5210457.605547317)",<shapely.coords.CoordinateSequence object at 0x14d4b7820>
12114,12115,15251,140,146,137,145,,Centre,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.013,0.013, , ,MA,MA,025,025,07000,07000,02119,02119, , ,07000,07000,767,191.44727422743875,"LINESTRING (-7914401.726111066 5210046.10758372, -7914404.967604416 5210037.534842413, -7914408.111166962 5210029.221235687, -7914429.689930201 5209972.153056832)",<shapely.coords.CoordinateSequence object at 0x14d4b77c0>
12161,12162,13193,442,498,443,499,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.206,0.206, , ,MA,MA,025,025,07000,07000,02118,02116, , ,07000,07000,4181,500.70227655028833,"LINESTRING (-7911377.68582948 5213032.847949877, -7911436.973548451 5212886.527463765, -7911450.466803348 5212858.102951465, -7911457.965221549 5212842.306879135)",<shapely.coords.CoordinateSequence object at 0x14d4b55e0>
12162,12163,11573,558,564,557,569,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.044,0.044, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,4181,163.66219137202359,"LINESTRING (-7911679.284882548 5212629.336172821, -7911716.121224963 5212602.891476288, -7911734.098199449 5212589.985934587)",<shapely.coords.CoordinateSequence object at 0x14d4b5580>
12163,12164,11067,566,578,571,581,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.068,0.068, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,4181,167.1354491941755,"LINESTRING (-7911734.098199449 5212589.985934587, -7911739.176052184 5212586.340548422, -7911762.470509033 5212569.617509604, -7911789.957097479 5212549.636998947)",<shapely.coords.CoordinateSequence object at 0x14d4b5520>
12164,12165,10606,610,630,609,627,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Boston,Boston,0.015,0.015, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,4181,249.61298564069295,"LINESTRING (-7911902.140332736 5212467.723503882, -7911907.690385356 5212463.71773279, -7911985.585737959 5212407.494834291)",<shapely.coords.CoordinateSequence object at 0x14d4b54c0>
12165,12166,7682,870,898,813,899,,Tremont,ST,,Boston,Boston,A31,25,,,,,0,0,,,Roxbury,Roxbury,0.073,0.073, , ,MA,MA,025,025,07000,07000,02118,02118, , ,07000,07000,4181,158.49522817498573,"LINESTRING (-7912866.975628073 5211769.175727381, -7912919.89439261 5211730.848731212)",<shapely.coords.CoordinateSequence object at 0x14d4b5460>
