,x,y
0,-71.09371106946048,42.314961713525534
1,-71.09363047049571,42.31495388226968
2,-71.09344131122913,42.31490244729069
3,-71.09280203310767,42.31470192141055
4,-71.09180473693638,42.31436173524377
5,-71.09153959207599,42.3142762201258
6,-71.0912780077547,42.31419377536613
7,-71.09113637728348,42.31418563255425
8,-71.14124529527216,42.36127897510728
9,-71.14171023242507,42.361421745047714
10,-71.14183448953463,42.361449572790065
11,-71.14213340599359,42.36146628168643
12,-71.16057144815167,42.27356688106325
13,-71.1606272411909,42.27358419759172
14,-71.16155398169674,42.274015701031615
15,-71.09787013227123,42.32062111697275
16,-71.09788245435792,42.32103550245727
17,-71.15377985744873,42.34726702519101
18,-71.15424891838884,42.34655702774584
19,-71.15474655458662,42.34582035843527
20,-71.1549060712602,42.345567695034624
21,-71.15503074576532,42.34538764229319
22,-71.1551286775527,42.345234957206884
23,-71.15540162375564,42.34484176957111
24,-71.09730466497355,42.32063065826737
25,-71.09725081045877,42.32063184162002
26,-71.09680388893058,42.32063333120123
27,-71.09674929954488,42.3206335133125
28,-71.09669106181002,42.3206295691427
29,-71.09662109068408,42.32062483021684
30,-71.09660330967814,42.32062270973461
31,-71.09650586841333,42.3206093332123
32,-71.09642760353069,42.320596709967845
33,-71.09635427988091,42.320570383508674
34,-71.09602735360772,42.32041282464248
35,-71.09732666339146,42.32103108712404
36,-71.0299760507435,42.33742491108298
37,-71.03000552933361,42.33824893882479
38,-71.10307246889876,42.31095989645191
39,-71.10332223122607,42.311074639308885
40,-71.10353803574104,42.31118789241704
41,-71.10363320339327,42.311230069232785
42,-71.10371712253492,42.31126054382497
43,-71.10383546696217,42.31129182306232
44,-71.0683941776096,42.35771448405474
45,-71.06930769248004,42.35752856691915
46,-71.13959868809845,42.251472386986485
47,-71.1403211714128,42.25185839125831
48,-71.04861915424154,42.33840572088972
49,-71.0487948022513,42.338520710057495
50,-71.0642510987928,42.30882221809393
51,-71.06418046109535,42.30871443817871
52,-71.06400048720134,42.30843983464932
53,-71.06269895372631,42.30751016268304
54,-71.06265470846753,42.30748045273988
55,-71.06249751768487,42.30722327864577
56,-71.0622084936627,42.306818105888595
57,-71.06206021697035,42.306575372620046
58,-71.06195419790507,42.306369844913185
59,-71.06190458421403,42.30626057713879
60,-71.06181893528877,42.30608325414572
61,-71.06178245685389,42.3060124540325
62,-71.06158008888383,42.30554037912716
63,-71.06151414535158,42.30538714298067
64,-71.0614688202692,42.30525936856397
65,-71.06123946859243,42.30474740027932
66,-71.06117086357672,42.30457837416498
67,-71.09847377298422,42.33007584175085
68,-71.09891856033693,42.33028320266675
69,-71.09988321072743,42.330706412001646
70,-71.10071810480854,42.33107015997618
