,Unnamed: 0.1,street,speed,pin1,pin2,x1,y1,x2,y2,left_intersect_id,right_intersect_id,manhattan
22317,22317,Erie,1,2136,2136,-71.11387791345534,42.25777100446253,-71.11505157099235,42.25695749188407,44634,44635,0.001987170115469894
22318,22318,Erie,1,2136,2136,-71.11505157099235,42.25695749188407,-71.11512045258873,42.25686188423085,44636,44637,0.00016448924960599243
22319,22319,Erie,1,2136,2136,-71.11512045258873,42.25686188423085,-71.11541166481638,42.25593500907585,44638,44639,0.0012180873826466154
22320,22320,Bussey,25,2131,2130,-71.1280074699941,42.296404983153145,-71.12804263609708,42.29640838670008,44640,44641,3.856964990944789e-05
22321,22321,Bussey,25,2131,2130,-71.12804263609708,42.29640838670008,-71.128113751649,42.29641479116263,44642,44643,7.752001447158818e-05
22322,22322,Bussey,25,2131,2130,-71.128113751649,42.29641479116263,-71.12933470331528,42.29650686516217,44644,44645,0.00131302566582292
22323,22323,Whitcomb,20,2130,2130,-71.12623608017161,42.3018098049639,-71.12704126936406,42.3021609078732,44646,44647,0.0011562921017471695
22324,22324,Whitcomb,20,2130,2130,-71.12704126936406,42.3021609078732,-71.12835095996688,42.30284173539396,44648,44649,0.001990518123584195
22325,22325,Whitcomb,20,2130,2130,-71.12835095996688,42.30284173539396,-71.1285834073704,42.30295911879797,44650,44651,0.0003498308075293721
22326,22326,Whitcomb,20,2130,2130,-71.1285834073704,42.30295911879797,-71.1288041185526,42.303079721091216,44652,44653,0.00034131347543819857
22327,22327,Whitcomb,20,2130,2130,-71.1288041185526,42.303079721091216,-71.12885747630287,42.30310186161977,44654,44655,7.549827883224225e-05
22328,22328,Centre,35,2130,2130,-71.12582484534644,42.30232875790891,-71.12611749227213,42.301938393184216,44656,44657,0.0006830116503806494
22329,22329,Centre,35,2130,2130,-71.12611749227213,42.301938393184216,-71.12623608017161,42.3018098049639,44658,44659,0.00024717611979241383
22330,22330,Centre,35,2130,2130,-71.12539511366086,42.3029019685366,-71.12582484534644,42.30232875790891,44660,44661,0.0010029423132777993
22331,22331,Westchester,20,2130,2130,-71.12539511366086,42.3029019685366,-71.1261407597439,42.30325440501733,44662,44663,0.001098082563771641
22332,22332,Westchester,20,2130,2130,-71.1261407597439,42.30325440501733,-71.12667474300021,42.30350777985804,44664,44665,0.0007873580970141347
22333,22333,Centre,35,2130,2130,-71.12490943801474,42.3036810704297,-71.12491300880265,42.30366874800293,44666,44667,1.589321468742355e-05
22334,22334,Centre,35,2130,2130,-71.12491300880265,42.30366874800293,-71.12500707278961,42.30346873420185,44668,44669,0.00029407778804113605
22335,22335,Centre,35,2130,2130,-71.12500707278961,42.30346873420185,-71.12513005707007,42.30326195530056,44670,44671,0.00032976318173894015
22336,22336,Centre,35,2130,2130,-71.12513005707007,42.30326195530056,-71.12539511366086,42.3029019685366,44672,44673,0.0006250433547521084
22337,22337,Centre,35,2130,2130,-71.12469265773044,42.305057450159495,-71.12477862928985,42.30439481281584,44674,44675,0.0007486089030663834
22338,22338,Centre,35,2130,2130,-71.12477862928985,42.30439481281584,-71.12484012665587,42.3039202820095,44676,44677,0.0005360281723625349
22339,22339,Centre,35,2130,2130,-71.12484012665587,42.3039202820095,-71.12490943801474,42.3036810704297,44678,44679,0.00030852293866701075
22340,22340,Centre,35,2130,2130,-71.1241834531312,42.30634118861321,-71.12435558066267,42.30599187688015,44680,44681,0.0005214392645314092
22341,22341,Centre,35,2130,2130,-71.12435558066267,42.30599187688015,-71.12435804017818,42.30598659297093,44682,44683,7.743424731643245e-06
22342,22342,Centre,35,2130,2130,-71.12435804017818,42.30598659297093,-71.12446206683298,42.30576309108604,44684,44685,0.0003275285396853178
22343,22343,Centre,35,2130,2130,-71.12446206683298,42.30576309108604,-71.12458345025878,42.30550313783419,44686,44687,0.00038133667766260265
22344,22344,Centre,35,2130,2130,-71.12458345025878,42.30550313783419,-71.12460248031789,42.30546238410852,44688,44689,5.9783784770672817e-05
22345,22345,Centre,35,2130,2130,-71.12460248031789,42.30546238410852,-71.1246648372945,42.305271871437434,44690,44691,0.00025286964770288023
22346,22346,Centre,35,2130,2130,-71.1246648372945,42.305271871437434,-71.12469265773044,42.305057450159495,44692,44693,0.00024224171387032809
22347,22347,Louder's,3,2130,2130,-71.12452832020334,42.30606261783936,-71.12444712064759,42.306140357874,44694,44695,0.00015893959039203764
22348,22348,Louder's,3,2130,2130,-71.12444712064759,42.306140357874,-71.1241834531312,42.30634118861321,44696,44697,0.00046449825560301866
22349,22349,Cemetery,20,2130,2130,-71.10485601206163,42.30231385721324,-71.10480922707433,42.302107878,44698,44699,0.0002527642005532016
22350,22350,Cemetery,20,2130,2130,-71.10480922707433,42.302107878,-71.10472439126765,42.30185581388719,44700,44701,0.0003368999194819366
22351,22351,Cemetery,20,2130,2130,-71.10472439126765,42.30185581388719,-71.10462350116123,42.30162221631376,44702,44703,0.0003344876798507812
22352,22352,Cemetery,20,2130,2130,-71.10462350116123,42.30162221631376,-71.10461307506628,42.301589937115224,44704,44705,4.270529348104901e-05
22353,22353,Cemetery,20,2130,2130,-71.10461307506628,42.301589937115224,-71.10460403516721,42.301557662685646,44706,44707,4.13143286479567e-05
22354,22354,Cemetery,20,2130,2130,-71.10460403516721,42.301557662685646,-71.10460020984912,42.30154118484681,44708,44709,2.030315692280737e-05
22355,22355,Cemetery,20,2130,2130,-71.10460020984912,42.30154118484681,-71.1045934802705,42.301508918366274,44710,44711,3.899605916757309e-05
