,Unnamed: 0.1,street,speed,pin1,pin2,x1,y1,x2,y2,left_intersect_id,right_intersect_id,manhattan
14878,14878,Running Brook,20,2132,2132,-71.15218680174141,42.26328766951917,-71.15218115311954,42.263265013363366,29756,29757,2.830477767190587e-05
14879,14879,Running Brook,20,2132,2132,-71.15218115311954,42.263265013363366,-71.1521711934891,42.263228623514706,29758,29759,4.6349479106311264e-05
14880,14880,Running Brook,20,2132,2132,-71.1521711934891,42.263228623514706,-71.15216189702036,42.26319772392743,29760,29761,4.019605600547038e-05
14881,14881,Running Brook,20,2132,2132,-71.15216189702036,42.26319772392743,-71.15215099501873,42.263164760480215,29762,29763,4.3865448851931894e-05
14882,14882,Running Brook,20,2132,2132,-71.15215099501873,42.263164760480215,-71.15213963500742,42.26313111051285,29764,29765,4.5009978677512656e-05
14883,14883,Running Brook,20,2132,2132,-71.15213963500742,42.26313111051285,-71.15212939872492,42.263102952202274,29766,29767,3.839459306931303e-05
14884,14884,Running Brook,20,2132,2132,-71.15212939872492,42.263102952202274,-71.15212028737919,42.263080285552505,29768,29769,3.177799550257987e-05
14885,14885,Running Brook,20,2132,2132,-71.15212028737919,42.263080285552505,-71.15211117227301,42.263058304922254,29770,29771,3.109573643200747e-05
14886,14886,Running Brook,20,2132,2132,-71.15211117227301,42.263058304922254,-71.15210182312137,42.26303700961383,29772,29773,3.0644460061068905e-05
14887,14887,Running Brook,20,2132,2132,-71.15210182312137,42.26303700961383,-71.15208926666095,42.26301090236497,29774,29775,3.866370928307106e-05
14888,14888,Running Brook,20,2132,2132,-71.15208926666095,42.26301090236497,-71.15207944444052,42.26299166371648,29776,29777,2.9060868925512292e-05
14889,14889,Running Brook,20,2132,2132,-71.15207944444052,42.26299166371648,-71.15206939072927,42.26297242436564,29778,29779,2.9293062084434496e-05
14890,14890,Running Brook,20,2132,2132,-71.15206939072927,42.26297242436564,-71.15205383709021,42.26294562199946,29780,29781,4.235600524538086e-05
14891,14891,Running Brook,20,2132,2132,-71.15205383709021,42.26294562199946,-71.1520430825812,42.26292775258615,29782,29783,2.8623922311510338e-05
14892,14892,Running Brook,20,2132,2132,-71.1520430825812,42.26292775258615,-71.1520318675093,42.26290988177617,29784,29785,2.908588189143302e-05
14893,14893,Running Brook,20,2132,2132,-71.1520318675093,42.26290988177617,-71.15201789561773,42.26288925848369,29786,29787,3.4595184040142606e-05
