,Unnamed: 0.1,street,speed,pin1,pin2,x1,y1,x2,y2,left_intersect_id,right_intersect_id,manhattan
59512,59512,Algonquin,20,2124,2124,-71.0732594853018,42.29775648745691,-71.07329348687075,42.29778014582561,119024,119025,5.765993765294297e-05
59513,59513,Algonquin,20,2124,2124,-71.07329348687075,42.29778014582561,-71.07331858158776,42.2977976067417,119026,119027,4.2555633093854794e-05
59514,59514,Algonquin,20,2124,2124,-71.07331858158776,42.2977976067417,-71.07334437313621,42.29781226129861,119028,119029,4.0446105359137625e-05
59515,59515,Algonquin,20,2124,2124,-71.07334437313621,42.29781226129861,-71.07336645460084,42.2978224743896,119030,119031,3.229455562347994e-05
59516,59516,Algonquin,20,2124,2124,-71.07336645460084,42.2978224743896,-71.07339462813168,42.29783350146153,119032,119033,3.920060277096127e-05
59517,59517,Algonquin,20,2124,2124,-71.07339462813168,42.29783350146153,-71.07342408317551,42.29784313871721,119034,119035,3.9092299509491106e-05
59518,59518,Algonquin,20,2124,2124,-71.07342408317551,42.29784313871721,-71.07346635926129,42.29785472950133,119036,119037,5.386686989794498e-05
59519,59519,Algonquin,20,2124,2124,-71.07346635926129,42.29785472950133,-71.0735153983339,42.29786277207658,119038,119039,5.7081647852896815e-05
59520,59520,Algonquin,20,2124,2124,-71.0735153983339,42.29786277207658,-71.07355580645066,42.29786578052056,119040,119041,4.341656074302591e-05
59521,59521,Algonquin,20,2124,2124,-71.07355580645066,42.29786578052056,-71.0735962446529,42.29786450182551,119042,119043,4.1716897300148055e-05
59522,59522,Algonquin,20,2124,2124,-71.0735962446529,42.29786450182551,-71.07363286023022,42.29785892079403,119044,119045,4.219660879556386e-05
59523,59523,Algonquin,20,2124,2124,-71.07363286023022,42.29785892079403,-71.07413116015356,42.297722925491584,119046,119047,0.0006342952257796243
59524,59524,Algonquin,20,2124,2124,-71.07413116015356,42.297722925491584,-71.07450052748375,42.2976255057006,119048,119049,0.0004667871211765373
59525,59525,Turquoise,20,2120,2120,-71.09734549178151,42.33399766310102,-71.09692168125669,42.33460267147287,119050,119051,0.0010288188966711687
59526,59526,Turquoise,20,2120,2120,-71.09734549178151,42.33399766310102,-71.09777695762162,42.33339367022396,119052,119053,0.0010354587171690355
59527,59527,Horadan,20,2120,2120,-71.09594731001144,42.33347216439588,-71.09734549178151,42.33399766310102,119054,119055,0.0019236804752154055
59528,59528,Cornelia,20,2120,2120,-71.09829319113524,42.33513271220346,-71.09871138716177,42.33450054983813,119056,119057,0.001050358391857742
59529,59529,Cornelia,20,2120,2120,-71.09908860259978,42.333908667067256,-71.09871138716177,42.33450054983813,119058,119059,0.0009690982088841338
59530,59530,Horadan,20,2120,2120,-71.1000467299588,42.33496994095787,-71.09871138716177,42.33450054983813,119060,119061,0.001804733916770829
59531,59531,Horadan,20,2120,2120,-71.09734549178151,42.33399766310102,-71.09871138716177,42.33450054983813,119062,119063,0.0018687821173699606
59532,59532,Turquoise,20,2120,2120,-71.09783899898144,42.33330883203076,-71.09777695762162,42.33339367022396,119064,119065,0.00014687955302861155
59533,59533,Smith,20,2120,2120,-71.09777695762162,42.33339367022396,-71.09908860259978,42.333908667067256,119066,119067,0.0018266418214523128
59534,59534,Smith,20,2120,2120,-71.09914224262918,42.33382473429067,-71.09783899898144,42.33330883203076,119068,119069,0.0018191459076533079
